title,artist,link
Gates of Paradise (1835),Clement Pappi,https://collections.ed.ac.uk/art/record/20577?highlight=*:*
Untitled (Unknown),David C Duke,https://collections.ed.ac.uk/art/record/21987?highlight=*:*
Reclining Female Nude (1960),Kenneth R Wheatley,https://collections.ed.ac.uk/art/record/20857?highlight=*:*
Seated Male Nude (1965-1966),H Chart,https://collections.ed.ac.uk/art/record/21268?highlight=*:*
Portrait of a Young Man (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21056?highlight=*:*
After the Fall of Snow (1986),Hilary A. Fisher,https://collections.ed.ac.uk/art/record/21705?highlight=*:*
Standing Male Nude with staff (1949-1952),Adam Robson,https://collections.ed.ac.uk/art/record/20812?highlight=*:*
Arizona (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21813?highlight=*:*
Cap insert (1800-1899),Unknown,https://collections.ed.ac.uk/art/record/102709?highlight=*:*
Untitled (MAR 1997),Unknown,https://collections.ed.ac.uk/art/record/21928?highlight=*:*
Ship yard (1965),Helen M. Percy,https://collections.ed.ac.uk/art/record/102743?highlight=*:*
Standing Boy with Four Ravens (1986-1987),Janice McNab,https://collections.ed.ac.uk/art/record/122970?highlight=*:*
Side Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53614?highlight=*:*
Life Drawing,Eugene Corolan,https://collections.ed.ac.uk/art/record/99850?highlight=*:*
Plate (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53708?highlight=*:*
Untitled (1976),Ian Baillie,https://collections.ed.ac.uk/art/record/21599?highlight=*:*
Study for Two Figure Composition (1949),Douglas Baxter,https://collections.ed.ac.uk/art/record/50576?highlight=*:*
Self-Portrait (1967),Gregor Smith,https://collections.ed.ac.uk/art/record/99398?highlight=*:*
Untitled - Abstract Building (1972),Lindsay R S Gordon,https://collections.ed.ac.uk/art/record/99422?highlight=*:*
Untitled (1962),Deborah Eadie,https://collections.ed.ac.uk/art/record/99495?highlight=*:*
Walking the Wall (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21906?highlight=*:*
Standing Female Nude (1952),Mollie E N Langlands,https://collections.ed.ac.uk/art/record/21020?highlight=*:*
Seated Male Nude with Sword (1955),Fiona C MacCormick,https://collections.ed.ac.uk/art/record/21013?highlight=*:*
Untitled (1972),Lin Hunter,https://collections.ed.ac.uk/art/record/21834?highlight=*:*
Composition with Photo Screenprints of a Dead Rabbit (1972),Brent D. Millar,https://collections.ed.ac.uk/art/record/22572?highlight=*:*
Untitled - Portrait of a Woman in a Hat (1974),Patricia M Leighton,https://collections.ed.ac.uk/art/record/99473?highlight=*:*
Portrait of a Woman (1954),David Ewans,https://collections.ed.ac.uk/art/record/21215?highlight=*:*
Untitled (1997),Unknown,https://collections.ed.ac.uk/art/record/21910?highlight=*:*
Unknown (1949),Betty Elston,https://collections.ed.ac.uk/art/record/50580?highlight=*:*
Dorothy Allsop sampler (1936),Unknown,https://collections.ed.ac.uk/art/record/102697?highlight=*:*
Performing Labour in an Industrial Setting II (2020),Aisling Ward,https://collections.ed.ac.uk/art/record/113776?highlight=*:*
Oedipus is King (Circa 1964),Oliver Harris,https://collections.ed.ac.uk/art/record/122717?highlight=*:*
Untitled (1962),Janette Brown,https://collections.ed.ac.uk/art/record/99375?highlight=*:*
Figures by a canal (Circa 1987),John Picking,https://collections.ed.ac.uk/art/record/122740?highlight=*:*
Composition with Washing Line (Circa 1987),Gary Ferguson,https://collections.ed.ac.uk/art/record/22620?highlight=*:*
Stretching Male Nude (Circa 1953),Valerie Donaldson,https://collections.ed.ac.uk/art/record/20949?highlight=*:*
